Article_ID,Category,Title,Title_link,Image,Date,Summary,Content,Field1
900,Business,Rooting for Trump to fail has made his stock shorters millions,https://indianexpress.com/article/business/world-market/rooting-for-trump-to-fail-has-made-his-stock-shorters-millions-9292812/,https://images.indianexpress.com/2024/04/Donald-Trump-5.jpg?w=450,"APRIL 26, 2024","As of Friday morning, a month since Trump Media's initial public offering sent its stock to USD 66.22, it has plunged to USD 38.49.","Rooting for Donald Trump to fail has rarely been this profitable. Just ask a hardy band of mostly amateur Wall Street investors who have collectively made tens of millions of dollars over the past month by betting that the stock price of his social media business — Truth Social — will keep dropping despite massive buying by Trump loyalists and wild swings that often mirror the candidate’s latest polls, court trials and outbursts on Truth Social itself. Several of these investors interviewed by The Associated Press say their bearish gambles using “put” options and other trading tools are driven less by their personal feelings about the former president (most don’t like him) than their faith in the woeful underlying financials of a company that made less money last year than the average Wendy’s hamburger franchise. “This company makes no money. … It makes no sense,” said Boise, Idaho, ad executive Elle Stange, who estimates she’s made USD 1,300 betting against Trump Media and Technology stock. “He’s not as great a businessman as he thinks. A lot of his businesses go belly up, quickly.” Says Seattle IT security specialist Jeff Cheung, “This is guaranteed to go to zero.” As of Friday morning, a month since Trump Media’s initial public offering sent its stock to USD 66.22, it has plunged to USD 38.49. An AP analysis of data from research firms FactSet and S3 Partners shows that investors using puts and “short selling” have paper profits so far of at least USD 200 million, not including the costs of puts, which vary from trade to trade. Still, amateur traders, mostly risking no more than a few thousand dollars each, say the stock is too volatile to declare victory yet. So they are cashing in a bit now, letting other bets ride and stealing a glance at the latest stock movements in the office cubicle, at the kitchen table or even on the toilet. There have been plenty of scary moments, including last week when DJT, the ex-president’s initials and stock ticker, jumped nearly 40 per cent in two days. “I don’t know which direction the stock is going,” says Schenectady, NY, day trader Richard Persaud while checking his iPhone amid the surge. “It’s so unbelievably overvalued.” Many who spoke to the AP say knowing their bets have helped slash the value of Trump’s 65 per cent stake in half is an added political benefit. If some of their predictions are right, they may able to someday push it to zero, making it impossible for him to tap it to pay his hefty legal bills or finance his GOP presidential campaign. They have a long way to go. Trump’s stake is still worth USD 4 billion. Normally, investors betting a stock will fall, especially a gutsy breed of hedge fund traders called “short sellers,” will do plenty of homework. They’ll pore over financial statements, develop expertise in an industry, talk to competitors, and even turn to “forensic accountants” to find hidden weaknesses in the books.
No need in Trump Media’s case. It’s all there in the Sarasota, Florida-based company’s 100-page financial report: A firehose of losses, USD 58 million last year, on minuscule revenue of USD 4 million from advertising and other sources. The losses are so big, as Trump Media’s auditor wrote in the report, they “raise substantial doubt about its ability to continue as a going concern.” A short seller’s dream? Or is it a nightmare? Amateur trader Manny Marotta has two computer screens at home, one for work, the other showing DJT stock’s movements where he can gauge how much he’s up or down. It wasn’t looking so good earlier this week. The legal writer from suburban Cleveland had been up about USD 4,000 on “put” options purchased over the past few weeks. But the screen that morning was showing investors, presumably rich ones, buying large volumes of DJT shares, pushing up the stock once again. “My options are worth less with every passing minute,” says Marotta, adding about DJT: “It’s being manipulated. It’s insane.” Waiting for the stock to drop is especially painful to “short sellers,” who pay a fee to borrow shares owned by others. The idea is to quickly sell them on a hunch they will be able to buy the same number of them later for much cheaper before having to return them to the lender. That allows short sellers to pocket the difference, minus the fee, which is usually nominal. In DJT’s case, the fee is anything but nominal. It was costing 565 per cent a year at one point earlier this month, meaning short sellers had only two months before any possible profits would be eaten up in fees, even if the stock went to zero. It’s a rate so off the charts, that only three other stocks in recent memory have exceeded it, according to data from Boston University’s Karl Diether and Wharton’s Itamar Drechsler, who have studied short selling back two decades. Add in massive buying by Trump supporters who see it as a way to support their candidate, and losses could multiply fast. “It’s scary,” says Drechsler, who likens buyers of Trump’s stock to unwavering sports fans. “It is everything that you hope that the stock market is not.” Trump Media spokeswoman Shannon Devine said the company is in a “strong financial position” with USD 200 million in cash and no debt, and said the AP was “selecting admitted Trump antagonists.” Another danger to the stock is a “short squeeze.” If the price rises sharply, it could set off a rush by short sellers who fear they’ve bet wrongly to return their borrowed shares right away and limit their losses. And so they start buying shares to replace the ones they borrowed and sold, and that very buying tends to work against them, sending the price higher, which in turn scares other short sellers, who then also buy, setting off a vicious cycle of price hikes. “If DJT starts rallying, you’re going to see the mother of all squeezes,” says S3 Partners short-selling expert Ihor Dusaniwsky, who spent three decades at Morgan Stanley helping investors borrow shares. “This is not for the faint of heart.” And if that wasn’t enough, there is a final oddball feature of DJT stock that could trigger an explosion in prices, up or down. “Lock up” agreements prohibit Trump and other DJT executives from selling their shares until September. That leaves the float, or the number of shares that can be traded each day by others, at a dangerously tiny 29 per cent of total shares that will someday flood the market. That means a big purchase or sale on any day that would barely move a typical stock can send DJT flying or crashing. The float is smaller than that of most other notoriously volatile stocks. At their smallest levels, AMC, GameStop and Shake Shack each had more than double the float.
Seattle trader Cheung sees DJT’s freak characteristics as a reason to bet against the stock, not shy away. When the lock-up period ends, he predicts, the ex-president will indeed sell his shares, spooking the market and sending the price down sharply. And even if he doesn’t, other insiders whose lock-ups expire will fear he will do so and will move fast to get a good price before it falls. “The first one to sell out is going make to most, ” Cheung says. “Everyone is going to sell.” Still, he doesn’t want to lose money in the interim, so Cheung is offsetting some of his “put” bets with the purchase of “calls.” The latter are also derivatives, but they do the opposite, paying off when the stock rises. Cheung hopes that whichever makes money, the puts or the calls, he will make enough with one to more than make up for the loss of the other. If all of this seems too complicated, there is a far simpler way to make money betting against Trump. Offshore, casino-style betting sites are taking wagers on the 2024 election, and some have even made President Joe Biden the favorite.        "," Just ask a hardy band of mostly amateur Wall Street investors who have collectively made tens of millions of dollars over the past month by betting that the stock price of his social media business — Truth Social — will keep dropping despite massive buying by Trump loyalists and wild swings that often mirror the candidate’s latest polls, court trials and outbursts on Truth Social itself. … It makes no sense,” said Boise, Idaho, ad executive Elle Stange, who estimates she’s made USD 1,300 betting against Trump Media and Technology stock. A lot of his businesses go belly up, quickly.” Says Seattle IT security specialist Jeff Cheung, “This is guaranteed to go to zero.” As of Friday morning, a month since Trump Media’s initial public offering sent its stock to USD 66.22, it has plunged to USD 38.49."
901,Business,Patanjali Foods to evaluate proposal to buy Patanjali Ayurved’s non-food business,https://indianexpress.com/article/business/companies/patanjali-foods-proposal-to-buy-patanjali-ayurveds-non-food-business-9292732/,https://images.indianexpress.com/2024/04/patanjali.jpg?w=450,"APRIL 26, 2024","In a regulatory filing, Patanjali Foods informed that its board has discussed the initial proposal received from Patanjali Ayurved Ltd for a sale of the latter's non-food business undertaking to the company.","Patanjali Foods Ltd, which is mainly into edible oils, on Friday said it will evaluate a proposal to acquire the non-food business of promoter group Patanjali Ayurved led by Baba Ramdev. However, the company did not mention the categories of non-food products it plans to acquire, but sources said it will consider acquiring products falling into dental care, home care, personal care categories, which contribute 50-60 per cent to the promoter’s total turnover. In a regulatory filing, Patanjali Foods informed that its board has discussed the initial proposal received from Patanjali Ayurved Ltd for a sale of the latter’s non-food business undertaking to the company. “The board accorded its in-principle approval for evaluating the most efficient mode of enhancing synergies with Patanjali Ayurved non-food portfolio in any manner on an arm’s length basis,” the filing said. The board also authorised officials to carry out due diligence, appoint professionals, negotiate the terms and conditions of the proposal, and report the findings to the Audit Committee and the board for further consideration. To strengthen its product portfolio, Patanjali Foods acquired the biscuits business of Patanjali Natural Biscuits Pvt Ltd for Rs 60.03 crore in May 2021. The company also acquired the noodles and breakfast cereals business for Rs 3.50 crore in June 2021 and the food business in May 2022 for Rs 690 crore from Patanjali Ayurved. The proposal received from Patanjali Ayurved “may offer synergies to the company’s product portfolio with an array of brands and contribute to the growth in terms of revenue and EBITDA”, Patanjali Foods said. Incorporated in 1986, Patanjali Foods Limited (formerly known as Ruchi Soya Industries Ltd) is one of the leading FMCG players. The company operates in edible oils, food & FMCG and wind power generation segments via a bouquet of brands like Patanjali, Ruchi Gold, Nutrela, etc. According to sources, Patanjali Foods will consider acquiring products falling into dental care, home care, personal care categories under Patanjali Ayurved. Patanjali Foods will consider acquiring brands like Dant Kanti and Kesh Kanti of Patanjali Ayurved, they added. These categories contribute 50-60 per cent to the total turnover of Patanjali Ayurved. Patanjali Foods’ total income increased to Rs 31,821.45 crore in the 2022-23 fiscal against Rs 24,284.38 crore in 2021-22.        "," In a regulatory filing, Patanjali Foods informed that its board has discussed the initial proposal received from Patanjali Ayurved Ltd for a sale of the latter’s non-food business undertaking to the company. The proposal received from Patanjali Ayurved “may offer synergies to the company’s product portfolio with an array of brands and contribute to the growth in terms of revenue and EBITDA”, Patanjali Foods said."
902,Business,"In second consecutive week of decline, India’s forex reserves drop $2.28 billion to $640.33 billion",https://indianexpress.com/article/business/economy/india-forex-reserves-drop-rbi-9292399/,https://images.indianexpress.com/2024/04/forex.jpg?w=450,"APRIL 26, 2024","The reserves took a hit as the central bank deployed the kitty to defend the rupee amid pressures caused majorly by global events, but there had been a steady accretion over the past few months.","India’s forex reserves decreased USD 2.282 billion to USD 640.334 billion for the seven days ended April 19 in the second consecutive week of drop in the kitty, the Reserve Bank of India (RBI) said on Friday. The reserves had dropped USD 5.401 billion to USD 643.162 billion in the previous reporting week, ending a multi-week trend of an increase, which also saw the overall reserves touching a new all-time high of USD USD 648.562 billion for the week ended April 5. In September 2021, the country’s forex kitty had reached a high of USD 642.453 billion, which was breached in March this year. The reserves took a hit as the central bank deployed the kitty to defend the rupee amid pressures caused majorly by global events, but there had been a steady accretion over the past few months. For the week ended April 19, the foreign currency assets, a major component of the reserves, decreased USD 3.793 billion to USD 560.86 billion, according to the data released on Friday. Expressed in dollar terms, the foreign currency assets include the effect of appreciation or depreciation of non-US units like the euro, pound, and yen held in the foreign exchange reserves. Gold reserves continued to rise and increased USD 1.01 billion to USD 56.808 billion during the week, the RBI said. The Special Drawing Rights (SDRs) were down USD 43 million to USD 18.034 billion, the apex bank said. India’s reserve position with the IMF was also down USD 2 million to USD 4.631 billion in the reporting week, the apex bank data showed.        "," India’s forex reserves decreased USD 2.282 billion to USD 640.334 billion for the seven days ended April 19 in the second consecutive week of drop in the kitty, the Reserve Bank of India (RBI) said on Friday. The reserves had dropped USD 5.401 billion to USD 643.162 billion in the previous reporting week, ending a multi-week trend of an increase, which also saw the overall reserves touching a new all-time high of USD USD 648.562 billion for the week ended April 5."
903,Business,Delhi HC directs DGCA to forthwith process applications of Go First’s lessors’ to deregister aircraft,https://indianexpress.com/article/business/aviation/delhi-high-court-hc-dgca-go-first-lessor-9292378/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T171836.160.jpg?w=450,"APRIL 26, 2024","“DGCA shall forthwith and not later than five working days process the deregistration applications filed by the 54 aircrafts,” the court said.","The Delhi High Court on Friday directed the Directorate General of Civil Aviation (DGCA) to forthwith process the applications filed by several lessors for deregistration of their 54 planes so that they could take them back from the crisis-hit Go First airline. The high court said the process shall be done in not later than five working days. Justice Tara Vitasta Ganju also restrained the resolution professional (RP) appointed under the insolvency law to manage the airline, and its directors from moving or taking away the planes or spare parts, documents, records and any other material. “DGCA shall forthwith and not later than five working days process the deregistration applications filed by the 54 aircrafts,” the court said. The high court said the DGCA, AAI and its authorised representatives shall aid and assist the petitioner lessors and grant them access to the airports. It said the lessors are permitted to export the aircraft as per the applicable rules and laws.
“DGCA shall facilitate export of aircraft by providing export certificates and all other documents,” it said.
The high court pronounced the judgement on petitions by several lessors seeking de-registration of their planes by aviation regulator DGCA so that they could take them back from the airline. After pronouncement of the verdict, the counsel for some of the respondents urged the court to keep its directions in abeyance for a week. However, the judge refused to do so and said “you find another court to put my directions in abeyance”.
Several aircraft lessors of Go First had earlier approached the single judge seeking deregistration of their planes by aviation regulator DGCA so that they could take them back from the airline. Earlier, the NCLT-appointed resolution professional, tasked with managing Go First, had told the high court that returning aircraft to the lessors will render the airline, which has 7,000 employees to look after “dead”. On May 10, 2023, the National Company Law Tribunal (NCLT) had admitted the airline’s voluntary insolvency resolution petition and appointed an interim resolution professional to manage the carrier. With a moratorium in force on financial obligations and transfer of assets of Go First in the wake of the insolvency resolution proceedings, the lessors were unable to deregister and take back the aircraft leased to the carrier. The lessors had earlier told the court that denial of deregistration by the DGCA was “illegitimate”.
Some of the lessors who have approached the high court are: Accipiter Investments Aircraft 2 Limited, EOS Aviation 12 (Ireland) Limited, Pembroke Aircraft Leasing 11 Limited, SMBC Aviation Capital Limited, SFV Aircraft Holdings IRE 9 DAC Ltd, ACG Aircraft Leasing Ireland Ltd and DAE SY 22 13 Ireland Designated Activity Company. Besides, GY Aviation Lease 1722 Co Ltd, Jackson Square Aviation Ireland Ltd, Sky High XCV Leasing Company Ltd, Star Rising Aviation 13 Ltd, Bluesky 31 Leasing Company Ltd and Bluesky 19 Leasing Company Ltd have also approached the high court. Go First stopped flying from May 3, 2023.        "," The Delhi High Court on Friday directed the Directorate General of Civil Aviation (DGCA) to forthwith process the applications filed by several lessors for deregistration of their 54 planes so that they could take them back from the crisis-hit Go First airline. “DGCA shall forthwith and not later than five working days process the deregistration applications filed by the 54 aircrafts,” the court said. Earlier, the NCLT-appointed resolution professional, tasked with managing Go First, had told the high court that returning aircraft to the lessors will render the airline, which has 7,000 employees to look after “dead”."
904,Business,"Maruti Suzuki Q4 net profit rises 48% to Rs 3,800 crore",https://indianexpress.com/article/business/maruti-suzuki-q4-result-net-profit-revenue-9292290/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T163053.158.jpg?w=450,"APRIL 26, 2024","The auto major had reported a net profit of Rs 2,623.6 crore in the year-ago period, Maruti Suzuki India said in a regulatory filing.","The country’s largest car maker Maruti Suzuki India on Friday reported a 47.8 per cent rise in net profit for the March quarter of FY24 to Rs 3,877.8 crore, on account of higher sales volume and favourable commodity prices. The auto major had reported a net profit of Rs 2,623.6 crore in the year-ago period, Maruti Suzuki India said in a regulatory filing. “For the first time, the company surpassed annual total sales milestone of 2 million units in FY24. The company continued to be the top exporter for the third consecutive year, now contributing 41.8 per cent of total passenger vehicle exports from India,” the company stated. Maruti Suzuki shares were trading at Rs 12,687.05 apiece at the day’s close, down 1.7 per cent from its previous close on the BSE.        "," The country’s largest car maker Maruti Suzuki India on Friday reported a 47.8 per cent rise in net profit for the March quarter of FY24 to Rs 3,877.8 crore, on account of higher sales volume and favourable commodity prices."
905,Business,"Bajaj Finserv Q4 profit rises 20% to Rs 2,119 crore",https://indianexpress.com/article/business/companies/bajaj-finserv-q4-result-profit-revenue-9292228/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T160204.892.jpg?w=450,"APRIL 26, 2024","The total consolidated income during the fourth quarter of FY24 increased to Rs 32,042 crore, as against Rs 23,625 crore in the year-ago period, BFL, the holding company for the various financial services businesses under the Bajaj group, said in a regulatory filing.","Bajaj Finserv Ltd (BFL) on Friday reported a 20 per cent increase in consolidated net profit to Rs 2,119 crore for the March quarter. The company had posted a net profit of Rs 1,769 crore in the year-ago period. The total consolidated income during the fourth quarter of FY24 increased to Rs 32,042 crore, as against Rs 23,625 crore in the year-ago period, BFL, the holding company for the various financial services businesses under the Bajaj group, said in a regulatory filing. The Board of Directors has recommended a dividend of Re 1 (100 per cent) per equity share of face value of Re 1, for the financial year ended March 31, 2024. The total amount of dividend outgo would be Rs 159.55 crore as compared to Rs 127.43 crore in the previous fiscal. For the financial year 2023-24, the company witnessed a 27 per cent increase in profit to Rs 8,148 crore, as against Rs 6,417 crore in the previous fiscal. The total consolidated income rose to Rs 1,10,383 crore, as against Rs 82,072 crore in the previous financial year. BFS participates in the financing business through its 51.34 per cent holding in Bajaj Finance Ltd (BFL) and in the life, general, and health insurance businesses through its 74 per cent holding in two unlisted subsidiaries. Bajaj Allianz General Insurance Company Ltd (BAGIC) and Bajaj Allianz Life Insurance Company Ltd (BALIC). During the year, the general insurance arm posted a profit of Rs 1,550 crore, as against Rs 1,348 crore in the previous fiscal, up 15 per cent. As on March 31, 2024, solvency ratio was 349 per cent, which is well above the minimum regulatory requirement of 150 per cent. The life insurance arm reported net new business value (NBV) of Rs 1,061 crore, as against Rs 950 crore in the previous year. For life business, the solvency ratio stood at a healthy 432 per cent as on March 31, 2024 as against the minimum regulatory requirement of 150 per cent.        "," Bajaj Finserv Ltd (BFL) on Friday reported a 20 per cent increase in consolidated net profit to Rs 2,119 crore for the March quarter. The total consolidated income during the fourth quarter of FY24 increased to Rs 32,042 crore, as against Rs 23,625 crore in the year-ago period, BFL, the holding company for the various financial services businesses under the Bajaj group, said in a regulatory filing."
906,Business,"US probes Tesla recall of 2 million vehicles over Autopilot, citing concerns",https://indianexpress.com/article/business/us-probes-tesla-recall-autopilot-nhtsa-9292177/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T153257.503.jpg?w=450,"APRIL 26, 2024","NHTSA also cited Tesla's statement ""that a portion of the remedy both requires the owner to opt in and allows a driver to readily reverse it.""",U.S. auto safety regulators said Friday they have opened an investigation into whether Tesla’s recall of more than 2 million vehicles announced in December to install new Autopilot safeguards is adequate. The National Highway Traffic Safety Administration (NHTSA) said it was opening an investigation after identified concerns due to crash events after vehicles had the recalled software update installed “and results from preliminary NHTSA tests of remedied vehicles”. NHTSA also cited Tesla’s statement “that a portion of the remedy both requires the owner to opt in and allows a driver to readily reverse it.” The agency said Tesla has issued software updates to address issues that appear related to its concerns but has not made them “a part of the recall or otherwise determined to remedy a defect that poses an unreasonable safety risk.”        , NHTSA also cited Tesla’s statement “that a portion of the remedy both requires the owner to opt in and allows a driver to readily reverse it.” The agency said Tesla has issued software updates to address issues that appear related to its concerns but has not made them “a part of the recall or otherwise determined to remedy a defect that poses an unreasonable safety risk.”
907,Business,"Gold futures rise Rs 221 to Rs 71,435 per 10 gm",https://indianexpress.com/article/business/commodities/gold-futures-rise-mcx-multi-commodity-exchange-9292078/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T143354.105.jpg?w=450,"APRIL 26, 2024","On the Multi Commodity Exchange, gold contracts for June delivery traded higher Rs 221 or 0.31 per cent at Rs 71,435 per 10 grams in a business turnover of 19,552 lots.","Gold price on Friday rose Rs 221 to Rs 71,435 per 10 grams in futures trade as speculators created fresh positions on a firm spot demand. On the Multi Commodity Exchange, gold contracts for June delivery traded higher Rs 221 or 0.31 per cent at Rs 71,435 per 10 grams in a business turnover of 19,552 lots. Fresh positions built up by participants led to a rise in gold prices, analysts said. Globally, gold futures went up by 0.61 per cent at USD 2,357.60 per ounce in New York.        "," Gold price on Friday rose Rs 221 to Rs 71,435 per 10 grams in futures trade as speculators created fresh positions on a firm spot demand. On the Multi Commodity Exchange, gold contracts for June delivery traded higher Rs 221 or 0.31 per cent at Rs 71,435 per 10 grams in a business turnover of 19,552 lots."
908,Business,Oil prices on track to snap two-week losing streak,https://indianexpress.com/article/business/commodities/brent-wti-crude-oil-price-gdp-growth-9291995/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T133609.064.jpg?w=450,"APRIL 26, 2024","Brent crude futures gained 47 cents, or 0.5%, to $89.48 a barrel at 0640 GMT, and U.S. West Texas Intermediate crude futures rose by 44 cents, or 0.5%, to $84.01 a barrel.","Oil prices rose on Friday, on track to end higher this week after two straight weeks of losses, after a top U.S. official expressed optimism over economic growth and as supply concerns lingered due to conflicts in the Middle East. Brent crude futures gained 47 cents, or 0.5%, to $89.48 a barrel at 0640 GMT, and U.S. West Texas Intermediate crude futures rose by 44 cents, or 0.5%, to $84.01 a barrel. For the week, Brent has gained 2.4% so far, while WTI is up 0.9%. Treasury Secretary Janet Yellen told Reuters on Thursday that U.S. GDP growth for the first quarter could be revised higher, and inflation will ease after a clutch of “peculiar” factors held the economy to its weakest showing in nearly two years. U.S. economic growth was likely stronger than suggested by weaker-than-expected quarterly data, she said. Data showed that economic growth slowed in the first quarter, and prior to Yellen’s comments, tremors from an acceleration in inflation had weighed on oil prices as investors calculated that the Federal Reserve would not cut interest rates before September. Elsewhere, supply concerns as tensions continue in the Middle East also buoyed prices early in the session. Israel stepped up air strikes on Rafah after saying it would evacuate civilians from the southern Gazan city and launch an all-out assault despite allies’ warnings this could cause mass casualties.        "," Oil prices rose on Friday, on track to end higher this week after two straight weeks of losses, after a top U.S. official expressed optimism over economic growth and as supply concerns lingered due to conflicts in the Middle East. Treasury Secretary Janet Yellen told Reuters on Thursday that U.S. GDP growth for the first quarter could be revised higher, and inflation will ease after a clutch of “peculiar” factors held the economy to its weakest showing in nearly two years. Data showed that economic growth slowed in the first quarter, and prior to Yellen’s comments, tremors from an acceleration in inflation had weighed on oil prices as investors calculated that the Federal Reserve would not cut interest rates before September."
909,Business,Deloitte projects India’s FY25 GDP growth at 6.6%,https://indianexpress.com/article/business/economy/deloitte-india-fy25-gdp-growth-export-import-9291939/,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-26T130025.553.jpg?w=450,"APRIL 26, 2024","In its India's economic outlook report, Deloitte said the rapid growth of the middle-income class has led to rising purchasing power and even created demand for premium luxury products and services.","Deloitte India on Friday said it estimates India’s GDP growth at 6.6 per cent in the current fiscal helped by consumption expenditure, exports rebound and capital flows. In its India’s economic outlook report, Deloitte said the rapid growth of the middle-income class has led to rising purchasing power and even created demand for premium luxury products and services. With the expectation that the number of middle-to-high-income segments will be one in two households by 2030/31, up from one in four currently, we believe this trend will likely become further amplified, driving overall private consumer expenditure growth, it said. Deloitte has revised India’s economic growth prediction for last fiscal to a range of 7.6 to 7.8 per cent. In January, the firm had projected growth for 2023-24 fiscal in the range of 6.9-7.2 per cent. The country’s GDP growth is estimated to reach around 6.6 per cent in FY 2024-25 and 6.75 per cent in the year after, as markets learn to factor in geopolitical uncertainties in their investment and consumption decisions, Deloitte said in its quarterly update to its economic outlook. “The global economy is expected to witness a synchronous rebound in 2025 as major election uncertainties get sorted out and the central banks of the West may announce a couple of rate cuts later in 2024. India will likely see improved capital flows and a rebound in exports” said Deloitte India Economist Rumki Majumdar. Strong growth numbers over the past two years have helped the economy to catch up with the pre-COVID trends. Investment, backed by strong government spending on infrastructure, has helped India maintain a steady recovery momentum, she added. That said, there are concerns about inflation and geopolitical uncertainties feeding into higher food and fuel prices. At the same time, the prediction of above normal monsoon will likely provide some respite by positively impacting agriculture output and easing pressure on food prices. Inflation is expected to remain above the Reserve Bank of India’s target level of 4 per cent over the forecast period due to strong economic activity, Majumdar said. Deloitte’s FY25 GDP growth estimate is similar to the projections made by the World Bank. It is, however, lower than the projections by the RBI and other agencies. The RBI has projected the Indian economy growth at 7 per cent in the current fiscal. While the Asian Development Bank (ADB) and Fitch Ratings have estimated growth at 7 per cent, the International Monetary Fund (IMF), S&P Global Ratings and Morgan Stanley projected a 6.8 per cent growth rate for FY25. Deloitte said even as growth in consumer spending post-pandemic has been fluctuating, there is a visible shift in consumption patterns, with demand for luxury and high-end products and services growing faster than demand for basic goods. “India is seeing a prominent shift in consumer behaviour toward aspirational spending, which is inevitable in any nation that experiences growing economic prosperity. India’s spending share in the luxury and premium goods and services category (such as spending on transport, communication, recreation, etc.) has traditionally been lower than nations such as the United States, China, Japan, and Germany. So, there is, therefore, potential for this ratio to increase further as consumer income grows.” Majumdar said. The report further said that to sustainably boost household spending amidst wealth concentration, declining savings, and rising debt levels, several corrective measures can be implemented. Increasing employment opportunities in rural and semi-urban areas could elevate savings, particularly as employment transitions from agriculture, which represents 44 per cent of employment but only about 18 per cent of GDP, to sectors like manufacturing, services, and construction. Government investments in infrastructure and initiatives such as Future Skills Prime 2021 for skill enhancement and Ayushman Bharat for health improvements are expected to enhance employability and productivity. Despite the necessity for credit growth to stimulate economic activity, the RBI will have to monitor rising household debt and encourage banks to leverage data analytics for smarter lending decisions, Deloitte said.        "," Deloitte India on Friday said it estimates India’s GDP growth at 6.6 per cent in the current fiscal helped by consumption expenditure, exports rebound and capital flows. In its India’s economic outlook report, Deloitte said the rapid growth of the middle-income class has led to rising purchasing power and even created demand for premium luxury products and services. The country’s GDP growth is estimated to reach around 6.6 per cent in FY 2024-25 and 6.75 per cent in the year after, as markets learn to factor in geopolitical uncertainties in their investment and consumption decisions, Deloitte said in its quarterly update to its economic outlook. Inflation is expected to remain above the Reserve Bank of India’s target level of 4 per cent over the forecast period due to strong economic activity, Majumdar said."
