User ID,Article ID,Action,Type,Timestamp
45,188,like,Nature,2024-03-13 00:43:00
48,35,view,Health,2024-03-05 10:43:00
65,199,share,Technology,2024-03-11 19:34:00
68,135,view,Politics,2024-03-06 02:34:00
68,89,comment,Politics,2024-03-02 00:00:00
10,77,view,Sports,2024-03-06 02:05:00
84,18,like,Travel,2024-03-26 12:01:00
22,96,bookmark,Business and Finance,2024-03-08 07:34:00
37,49,share,Technology,2024-03-13 14:56:00
88,38,like,Health,2024-03-20 18:31:00
71,1,like,Food,2024-03-23 21:19:00
89,203,bookmark,Business and Finance,2024-03-24 16:49:00
89,114,bookmark,Food,2024-03-29 03:50:00
13,109,comment,Weather/Climate,2024-03-01 00:37:00
59,5,like,Business and Finance,2024-03-21 08:43:00
66,96,share,Politics,2024-03-06 08:48:00
40,189,comment,Travel,2024-03-29 06:18:00
88,128,comment,Food,2024-03-24 05:10:00
47,11,share,Food,2024-03-04 21:50:00
89,30,bookmark,Health,2024-03-21 00:45:00
82,98,bookmark,Politics,2024-03-08 16:35:00
38,106,like,Politics,2024-03-06 17:55:00
26,14,comment,Entertainment,2024-03-17 20:56:00
78,20,share,Health,2024-03-04 03:23:00
73,42,share,Weather/Climate,2024-03-25 10:21:00
10,205,share,Technology,2024-03-21 09:27:00
21,173,comment,Entertainment,2024-03-21 05:47:00
81,52,view,Politics,2024-03-21 18:19:00
70,108,view,Travel,2024-03-11 07:42:00
80,145,like,Entertainment,2024-03-10 14:29:00
48,166,comment,Sports,2024-03-20 19:31:00
65,15,comment,Education,2024-03-02 07:54:00
83,165,view,Business and Finance,2024-03-12 01:29:00
89,115,bookmark,Sports,2024-03-09 03:06:00
50,133,view,Sports,2024-03-09 13:34:00
30,48,comment,Food,2024-03-11 20:50:00
20,129,share,Travel,2024-03-07 09:52:00
20,50,comment,Technology,2024-03-12 02:27:00
15,166,like,Sports,2024-03-08 16:52:00
40,204,view,Nature,2024-03-21 12:02:00
33,45,like,Health,2024-03-23 04:08:00
66,70,view,Education,2024-03-17 20:47:00
10,105,view,Education,2024-03-02 06:55:00
58,17,like,Entertainment,2024-03-30 06:57:00
33,17,like,Sports,2024-03-05 01:20:00
32,11,share,Health,2024-03-16 11:15:00
75,6,like,Food,2024-03-26 10:21:00
24,152,bookmark,Education,2024-03-28 11:18:00
36,176,comment,Entertainment,2024-03-11 12:48:00
76,68,share,Sports,2024-03-23 22:50:00
56,167,view,Entertainment,2024-03-03 11:06:00
29,19,bookmark,Sports,2024-03-02 21:41:00
35,95,like,Health,2024-03-30 10:24:00
1,209,like,Technology,2024-03-04 20:23:00
